Latin-Title,Bulgarian-Title,Resource-URL
Lactarius spinosulus,Дребнолюспеста млечница,http://manatarka.org/lactarius-spinosulus
Lactarius torminosus,Лъжлива млечница|Мъхнатка|Отровна млечница|Розова мъхната млечница,http://manatarka.org/lactarius-torminosus
Lactarius zonarius,Зонирана млечница,http://manatarka.org/lactarius-zonarius
Lactifluus bertillonii,Бертильонова млечница,http://manatarka.org/lactifluus-bertillonii
Lactifluus piperatus,Бяла млечница|Козарка|Лютива млечница|Лютивка|Лютици|Пиперенка,http://manatarka.org/lactifluus-piperatus
Lactifluus vellereus,Вълнеста млечница|Горчива млечница|Кадифена млечница|Потрасница,http://manatarka.org/lactifluus-vellereus
Lactifluus volemus,Просеник|Суроватка|Хлебенка|Хлебна млечница,http://manatarka.org/lactifluus-volemus
Laetiporus sulphureus,Сярна гъба,http://manatarka.org/laetiporus-sulphureus
Lanzia echinophila,Кестенова ланция,http://manatarka.org/lanzia-echinophila
Leccinum aurantiacum,Оранжева брезовка|Оранжева манатарка|Червена брезовка,http://manatarka.org/leccinum-aurantiacum
Leccinum crocipodium,Жълта брезова манатарка|Жълта брезовка,http://manatarka.org/leccinum-crocipodium
Leccinum pseudoscabrum,Габърова брезова манатарка|Габърова брезовка|Габърова гъба,http://manatarka.org/leccinum-pseudoscabrum
Leccinum scabrum,Брезова манатарка|Брезовка|Обикновена брезовка,http://manatarka.org/leccinum-scabrum
Lentinellus cochleatus,Жълто-червена кладница,http://manatarka.org/lentinellus-cochleatus
Lentinula edodes,Шиитаке,http://manatarka.org/lentinula-edodes
Lentinus lepideus,Жилава гъба|Траверсна гъба,http://manatarka.org/lentinus-lepideus
Lentinus tigrinus,Тигров лентинус,http://manatarka.org/lentinus-tigrinus
Leotia lubrica,Желатинова шапчица|Обикновена желатинова шапчица,http://manatarka.org/leotia-lubrica
Lepiota brunneoincarnata,Червено-кафява сърнелка,http://manatarka.org/lepiota-brunneoincarnata
Lepiota castanea,Кестенява сърнелка,http://manatarka.org/lepiota-castanea
Lepiota clypeolaria,Охреножълта сърнелка,http://manatarka.org/lepiota-clypeolaria
Lepiota cristata,Гребенеста сърнелка,http://manatarka.org/lepiota-cristata
Lepiota ignivolvata,Огнена сърнелка,http://manatarka.org/lepiota-ignivolvata
Lepista luscina,Сиво-кафява леписта,http://manatarka.org/lepista-luscina
Lepista nuda,Боровинка|Виолетка|Обикновена виолетка|Синьовица,http://manatarka.org/lepista-nuda
Lepista personata,Ливадна виолетка,http://manatarka.org/lepista-personata
Lepista sordida,Мрачна виолетка|Сивкава виолетка,http://manatarka.org/lepista-sordida
Leucoagaricus leucothites,Бяла сърнелка|Орехова сърнелка,http://manatarka.org/leucoagaricus-leucothites
Leucocortinarius bulbiger,Бял паяжинник|Луковичен паяжинник,http://manatarka.org/leucocortinarius-bulbiger
Leucopaxillus giganteus,Гигантска орешарка|Гигантски леукопаксилус|Едра белезникава киселка,http://manatarka.org/leucopaxillus-gigianteus
Leucopaxillus lepistoides,Сапунка,http://manatarka.org/leucopaxillus-lepistoides
Leucopaxillus tricolor,Трицветен леукопаксилус,http://manatarka.org/leucopaxillus-tricolor
